annee;code_NAF1;libelle_NAF1;NAF1;code_NAF5;libelle_NAF5;NAF5;risque;nb_jours_arret_travail;nb_jours_arret_travail_txt
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0144Z;Élevage de chameaux et d'autres camélidés;0144Z - Élevage de chameaux et d'autres camélidés;Accidents de trajet;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0144Z;Élevage de chameaux et d'autres camélidés;0144Z - Élevage de chameaux et d'autres camélidés;Accidents du travail;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0144Z;Élevage de chameaux et d'autres camélidés;0144Z - Élevage de chameaux et d'autres camélidés;Maladies professionnelles;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0144Z;Élevage de chameaux et d'autres camélidés;0144Z - Élevage de chameaux et d'autres camélidés;Tous risques confondus;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0145Z;Élevage d'ovins et de caprins;0145Z - Élevage d'ovins et de caprins;Accidents de trajet;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0145Z;Élevage d'ovins et de caprins;0145Z - Élevage d'ovins et de caprins;Accidents du travail;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0145Z;Élevage d'ovins et de caprins;0145Z - Élevage d'ovins et de caprins;Maladies professionnelles;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0145Z;Élevage d'ovins et de caprins;0145Z - Élevage d'ovins et de caprins;Tous risques confondus;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0146Z;Élevage de porcins;0146Z - Élevage de porcins;Accidents de trajet;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0146Z;Élevage de porcins;0146Z - Élevage de porcins;Accidents du travail;372;372
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0146Z;Élevage de porcins;0146Z - Élevage de porcins;Maladies professionnelles;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0146Z;Élevage de porcins;0146Z - Élevage de porcins;Tous risques confondus;372;372
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0147Z;Élevage de volailles;0147Z - Élevage de volailles;Accidents de trajet;16;16
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0147Z;Élevage de volailles;0147Z - Élevage de volailles;Accidents du travail;1018;1018
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0147Z;Élevage de volailles;0147Z - Élevage de volailles;Maladies professionnelles;612;612
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0147Z;Élevage de volailles;0147Z - Élevage de volailles;Tous risques confondus;1646;1646
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0149Z;Élevage d'autres animaux;0149Z - Élevage d'autres animaux;Accidents de trajet;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0149Z;Élevage d'autres animaux;0149Z - Élevage d'autres animaux;Accidents du travail;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0149Z;Élevage d'autres animaux;0149Z - Élevage d'autres animaux;Maladies professionnelles;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0149Z;Élevage d'autres animaux;0149Z - Élevage d'autres animaux;Tous risques confondus;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0150Z;Culture et élevage associés;0150Z - Culture et élevage associés;Accidents de trajet;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0150Z;Culture et élevage associés;0150Z - Culture et élevage associés;Accidents du travail;593;593
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0150Z;Culture et élevage associés;0150Z - Culture et élevage associés;Maladies professionnelles;69;69
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0150Z;Culture et élevage associés;0150Z - Culture et élevage associés;Tous risques confondus;662;662
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0161Z;Activités de soutien aux cultures;0161Z - Activités de soutien aux cultures;Accidents de trajet;23;23
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0161Z;Activités de soutien aux cultures;0161Z - Activités de soutien aux cultures;Accidents du travail;1368;1368
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0161Z;Activités de soutien aux cultures;0161Z - Activités de soutien aux cultures;Maladies professionnelles;609;609
