annee;code_NAF1;libelle_NAF1;NAF1;code_NAF5;libelle_NAF5;NAF5;ordre_taille_entreprise;taille_entreprise;nb_entreprises;nb_salaries;nb_salaries_int;nb_entreprises_int
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0123Z;Culture d'agrumes;0123Z - Culture d'agrumes;;'Toutes tranches d'effectifs confondues;NS;NS;;
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0124Z;Culture de fruits à pépins et à noyau;0124Z - Culture de fruits à pépins et à noyau;1;'Moins de 10;95;183;183;95
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0124Z;Culture de fruits à pépins et à noyau;0124Z - Culture de fruits à pépins et à noyau;2;'10-19;5;65;65;5
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0124Z;Culture de fruits à pépins et à noyau;0124Z - Culture de fruits à pépins et à noyau;3;'20-49;7;249;249;7
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0124Z;Culture de fruits à pépins et à noyau;0124Z - Culture de fruits à pépins et à noyau;4;'50-149;NS;NS;;
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0124Z;Culture de fruits à pépins et à noyau;0124Z - Culture de fruits à pépins et à noyau;5;'150-199;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0124Z;Culture de fruits à pépins et à noyau;0124Z - Culture de fruits à pépins et à noyau;6;'200-499;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0124Z;Culture de fruits à pépins et à noyau;0124Z - Culture de fruits à pépins et à noyau;7;'500 et plus;NS;NS;;
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0124Z;Culture de fruits à pépins et à noyau;0124Z - Culture de fruits à pépins et à noyau;;'Toutes tranches d'effectifs confondues;109;611;611;109
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0125Z;Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;0125Z - Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;1;'Moins de 10;NS;NS;;
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0125Z;Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;0125Z - Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;2;'10-19;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0125Z;Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;0125Z - Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;3;'20-49;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0125Z;Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;0125Z - Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;4;'50-149;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0125Z;Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;0125Z - Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;5;'150-199;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0125Z;Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;0125Z - Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;6;'200-499;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0125Z;Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;0125Z - Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;7;'500 et plus;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0125Z;Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;0125Z - Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;;'Toutes tranches d'effectifs confondues;NS;NS;;
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0126Z;Culture de fruits oléagineux;0126Z - Culture de fruits oléagineux;1;'Moins de 10;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0126Z;Culture de fruits oléagineux;0126Z - Culture de fruits oléagineux;2;'10-19;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0126Z;Culture de fruits oléagineux;0126Z - Culture de fruits oléagineux;3;'20-49;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0126Z;Culture de fruits oléagineux;0126Z - Culture de fruits oléagineux;4;'50-149;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0126Z;Culture de fruits oléagineux;0126Z - Culture de fruits oléagineux;5;'150-199;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0126Z;Culture de fruits oléagineux;0126Z - Culture de fruits oléagineux;6;'200-499;0;0;0;0
