annee;code_NAF5;libelle_NAF5;sexe
2020;2110Z;Fabrication de produits pharmaceutiques de base;Hommes
2020;2120Z;Fabrication de préparations pharmaceutiques;Femmes
2020;2120Z;Fabrication de préparations pharmaceutiques;Hommes
2020;2211Z;Fabrication et rechapage de pneumatiques;Femmes
2020;2211Z;Fabrication et rechapage de pneumatiques;Hommes
2020;2219Z;Fabrication d'autres articles en caoutchouc;Femmes
2020;2219Z;Fabrication d'autres articles en caoutchouc;Hommes
2020;2221Z;Fabrication de plaques, feuilles, tubes et profilés en matières plastiques;Femmes
2020;2221Z;Fabrication de plaques, feuilles, tubes et profilés en matières plastiques;Hommes
2020;2222Z;Fabrication d'emballages en matières plastiques;Femmes
2020;2222Z;Fabrication d'emballages en matières plastiques;Hommes
2020;2223Z;Fabrication d'éléments en matières plastiques pour la construction;Femmes
2020;2223Z;Fabrication d'éléments en matières plastiques pour la construction;Hommes
2020;2229A;Fabrication de pièces techniques à base de matières plastiques;Femmes
2020;2229A;Fabrication de pièces techniques à base de matières plastiques;Hommes
2020;2229B;Fabrication de produits de consommation courante en matières plastiques;Femmes
2020;2229B;Fabrication de produits de consommation courante en matières plastiques;Hommes
2020;2311Z;Fabrication de verre plat;Femmes
2020;2311Z;Fabrication de verre plat;Hommes
2020;2312Z;Façonnage et transformation du verre plat;Femmes
2020;2312Z;Façonnage et transformation du verre plat;Hommes
2020;2313Z;Fabrication de verre creux;Femmes
2020;2313Z;Fabrication de verre creux;Hommes
2020;2314Z;Fabrication de fibres de verre;Femmes
2020;2314Z;Fabrication de fibres de verre;Hommes
2020;2319Z;Fabrication et façonnage d'autres articles en verre, y compris verre technique;Femmes
2020;2319Z;Fabrication et façonnage d'autres articles en verre, y compris verre technique;Hommes
2020;2320Z;Fabrication de produits réfractaires;Femmes
2020;2320Z;Fabrication de produits réfractaires;Hommes
2020;2331Z;Fabrication de carreaux en céramique;Femmes
2020;2331Z;Fabrication de carreaux en céramique;Hommes
2020;2332Z;Fabrication de briques, tuiles et produits de construction, en terre cuite;Femmes
2020;2332Z;Fabrication de briques, tuiles et produits de construction, en terre cuite;Hommes
2020;2341Z;Fabrication d'articles céramiques à usage domestique ou ornemental;Femmes
2020;2341Z;Fabrication d'articles céramiques à usage domestique ou ornemental;Hommes
2020;2342Z;Fabrication d'appareils sanitaires en céramique;Femmes
2020;2342Z;Fabrication d'appareils sanitaires en céramique;Hommes
2020;2343Z;Fabrication d'isolateurs et pièces isolantes en céramique;Femmes
2020;2343Z;Fabrication d'isolateurs et pièces isolantes en céramique;Hommes
2020;2344Z;Fabrication d'autres produits céramiques à usage technique;Femmes
2020;2344Z;Fabrication d'autres produits céramiques à usage technique;Hommes
2020;2349Z;Fabrication d'autres produits céramiques;Femmes
2020;2349Z;Fabrication d'autres produits céramiques;Hommes
2020;2351Z;Fabrication de ciment;Femmes
2020;2351Z;Fabrication de ciment;Hommes
2020;2352Z;Fabrication de chaux et plâtre;Femmes
2020;2352Z;Fabrication de chaux et plâtre;Hommes
2020;2361Z;Fabrication d'éléments en béton pour la construction;Femmes
2020;2361Z;Fabrication d'éléments en béton pour la construction;Hommes
2020;2362Z;Fabrication d'éléments en plâtre pour la construction;Femmes
2020;2362Z;Fabrication d'éléments en plâtre pour la construction;Hommes
2020;2363Z;Fabrication de béton prêt à l'emploi;Femmes
2020;2363Z;Fabrication de béton prêt à l'emploi;Hommes
2020;2364Z;Fabrication de mortiers et bétons secs;Femmes
2020;2364Z;Fabrication de mortiers et bétons secs;Hommes
2020;2365Z;Fabrication d'ouvrages en fibre-ciment;Femmes
2020;2365Z;Fabrication d'ouvrages en fibre-ciment;Hommes
2020;2369Z;Fabrication d'autres ouvrages en béton, en ciment ou en plâtre;Femmes
2020;2369Z;Fabrication d'autres ouvrages en béton, en ciment ou en plâtre;Hommes
2020;2370Z;Taille, façonnage et finissage de pierres;Femmes
2020;2370Z;Taille, façonnage et finissage de pierres;Hommes
2020;2391Z;Fabrication de produits abrasifs;Femmes
2020;2391Z;Fabrication de produits abrasifs;Hommes
2020;2399Z;Fabrication d'autres produits minéraux non métalliques n.c.a.;Femmes
2020;2399Z;Fabrication d'autres produits minéraux non métalliques n.c.a.;Hommes
2020;2410Z;Sidérurgie;Femmes
2020;2410Z;Sidérurgie;Hommes
2020;2420Z;Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier;Femmes
2020;2420Z;Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier;Hommes
2020;2431Z;Étirage à froid de barres;Femmes
2020;2431Z;Étirage à froid de barres;Hommes
2020;2432Z;Laminage à froid de feuillards;Femmes
2020;2432Z;Laminage à froid de feuillards;Hommes
2020;2433Z;Profilage à froid par formage ou pliage;Femmes
2020;2433Z;Profilage à froid par formage ou pliage;Hommes
2020;2434Z;Tréfilage à froid;Femmes
2020;2434Z;Tréfilage à froid;Hommes
2020;2441Z;Production de métaux précieux;Femmes
2020;2441Z;Production de métaux précieux;Hommes
2020;2442Z;Métallurgie de l'aluminium;Femmes
2020;2442Z;Métallurgie de l'aluminium;Hommes
2020;2443Z;Métallurgie du plomb, du zinc ou de l'étain;Femmes
2020;2443Z;Métallurgie du plomb, du zinc ou de l'étain;Hommes
2020;2444Z;Métallurgie du cuivre;Femmes
2020;2444Z;Métallurgie du cuivre;Hommes
2020;2445Z;Métallurgie des autres métaux non ferreux;Femmes
2020;2445Z;Métallurgie des autres métaux non ferreux;Hommes
2020;2446Z;Élaboration et transformation de matières nucléaires;Femmes
2020;2446Z;Élaboration et transformation de matières nucléaires;Hommes
2020;2451Z;Fonderie de fonte;Femmes
2020;2451Z;Fonderie de fonte;Hommes
2020;2452Z;Fonderie d'acier;Femmes
2020;2452Z;Fonderie d'acier;Hommes
2020;2453Z;Fonderie de métaux légers;Femmes
2020;2453Z;Fonderie de métaux légers;Hommes
2020;2454Z;Fonderie d'autres métaux non ferreux;Femmes
2020;2454Z;Fonderie d'autres métaux non ferreux;Hommes
2020;2511Z;Fabrication de structures métalliques et de parties de structures;Femmes
2020;2511Z;Fabrication de structures métalliques et de parties de structures;Hommes
2020;2512Z;Fabrication de portes et fenêtres en métal;Femmes
2020;2512Z;Fabrication de portes et fenêtres en métal;Hommes
2020;2521Z;Fabrication de radiateurs et de chaudières pour le chauffage central;Femmes
2020;2521Z;Fabrication de radiateurs et de chaudières pour le chauffage central;Hommes
2020;2529Z;Fabrication d'autres réservoirs, citernes et conteneurs métalliques;Femmes
2020;2529Z;Fabrication d'autres réservoirs, citernes et conteneurs métalliques;Hommes
2020;2530Z;Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central;Femmes
2020;2530Z;Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central;Hommes
2020;2540Z;Fabrication d'armes et de munitions;Femmes
2020;2540Z;Fabrication d'armes et de munitions;Hommes
2020;2550A;"Forge, estampage, matriçage ; métallurgie des poudres";Femmes
2020;2550A;"Forge, estampage, matriçage ; métallurgie des poudres";Hommes
2020;2550B;Découpage, emboutissage;Femmes
2020;2550B;Découpage, emboutissage;Hommes
2020;2561Z;Traitement et revêtement des métaux;Femmes
2020;2561Z;Traitement et revêtement des métaux;Hommes
2020;2562A;Décolletage;Femmes
2020;2562A;Décolletage;Hommes
2020;2562B;Mécanique industrielle;Femmes
2020;2562B;Mécanique industrielle;Hommes
2020;2571Z;Fabrication de coutellerie;Femmes
2020;2571Z;Fabrication de coutellerie;Hommes
2020;2572Z;Fabrication de serrures et de ferrures;Femmes
2020;2572Z;Fabrication de serrures et de ferrures;Hommes
2020;2573A;Fabrication de moules et modèles;Femmes
2020;2573A;Fabrication de moules et modèles;Hommes
2020;2573B;Fabrication d'autres outillages;Femmes
2020;2573B;Fabrication d'autres outillages;Hommes
2020;2591Z;Fabrication de fûts et emballages métalliques similaires;Femmes
2020;2591Z;Fabrication de fûts et emballages métalliques similaires;Hommes
2020;2592Z;Fabrication d'emballages métalliques légers;Femmes
2020;2592Z;Fabrication d'emballages métalliques légers;Hommes
2020;2593Z;Fabrication d'articles en fils métalliques, de chaînes et de ressorts;Femmes
2020;2593Z;Fabrication d'articles en fils métalliques, de chaînes et de ressorts;Hommes
2020;2594Z;Fabrication de vis et de boulons;Femmes
