annee;risque;code_naf1;libelle_naf1;naf1;code_naf5;libelle_naf5;naf5;nb_sinistres;nb_salaries;indice_frequence;nb_sinistres_int;nb_salaries_int;indice_frequence_int
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2752Z;Fabrication d'appareils ménagers non électriques;2752Z - Fabrication d'appareils ménagers non électriques;16;1858;NC;16;1858;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2790Z;Fabrication d'autres matériels électriques;2790Z - Fabrication d'autres matériels électriques;35;13219;NC;35;13219;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2811Z;Fabrication de moteurs et turbines, à l'exception des moteurs d'avions et de véhicules;2811Z - Fabrication de moteurs et turbines, à l'exception des moteurs d'avions et de véhicules;38;8782;NC;38;8782;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2812Z;Fabrication d'équipements hydrauliques et pneumatiques;2812Z - Fabrication d'équipements hydrauliques et pneumatiques;19;6787;NC;19;6787;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2813Z;Fabrication d'autres pompes et compresseurs;2813Z - Fabrication d'autres pompes et compresseurs;66;11809;NC;66;11809;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2814Z;Fabrication d'autres articles de robinetterie;2814Z - Fabrication d'autres articles de robinetterie;23;9535;NC;23;9535;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2815Z;Fabrication d'engrenages et d'organes mécaniques de transmission;2815Z - Fabrication d'engrenages et d'organes mécaniques de transmission;49;10279;NC;49;10279;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2821Z;Fabrication de fours et brûleurs;2821Z - Fabrication de fours et brûleurs;7;1868;NC;7;1868;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2822Z;Fabrication de matériel de levage et de manutention;2822Z - Fabrication de matériel de levage et de manutention;102;23951;NC;102;23951;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2823Z;Fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et équipements périphériques);2823Z - Fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et équipements périphériques);6;1294;NC;6;1294;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2824Z;Fabrication d'outillage portatif à moteur incorporé;2824Z - Fabrication d'outillage portatif à moteur incorporé;3;322;NC;3;322;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2825Z;Fabrication d'équipements aérauliques et frigorifiques industriels;2825Z - Fabrication d'équipements aérauliques et frigorifiques industriels;65;20043;NC;65;20043;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2829A;Fabrication d'équipements d'emballage, de conditionnement et de pesage;2829A - Fabrication d'équipements d'emballage, de conditionnement et de pesage;7;5534;NC;7;5534;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2829B;Fabrication d'autres machines d'usage général;2829B - Fabrication d'autres machines d'usage général;47;13688;NC;47;13688;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2830Z;Fabrication de machines agricoles et forestières;2830Z - Fabrication de machines agricoles et forestières;75;19354;NC;75;19354;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2841Z;Fabrication de machines-outils pour le travail des métaux;2841Z - Fabrication de machines-outils pour le travail des métaux;11;4075;NC;11;4075;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2849Z;Fabrication d'autres machines-outils;2849Z - Fabrication d'autres machines-outils;3;1613;NC;3;1613;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2891Z;Fabrication de machines pour la métallurgie;2891Z - Fabrication de machines pour la métallurgie;2;635;NC;2;635;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2892Z;Fabrication de machines pour l'extraction ou la construction;2892Z - Fabrication de machines pour l'extraction ou la construction;30;8133;NC;30;8133;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2893Z;Fabrication de machines pour l'industrie agro-alimentaire;2893Z - Fabrication de machines pour l'industrie agro-alimentaire;34;9282;NC;34;9282;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2894Z;Fabrication de machines pour les industries textiles;2894Z - Fabrication de machines pour les industries textiles;3;2361;NC;3;2361;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2895Z;Fabrication de machines pour les industries du papier et du carton;2895Z - Fabrication de machines pour les industries du papier et du carton;6;1705;NC;6;1705;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2896Z;Fabrication de machines pour le travail du caoutchouc ou des plastiques;2896Z - Fabrication de machines pour le travail du caoutchouc ou des plastiques;3;1672;NC;3;1672;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2899A;Fabrication de machines d'imprimerie;2899A - Fabrication de machines d'imprimerie;0;916;NC;0;916;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2899B;Fabrication d'autres machines spécialisées;2899B - Fabrication d'autres machines spécialisées;14;10751;NC;14;10751;
