annee;code_NAF5;libelle_NAF5;risque;nb_jours_arret_travail
2017;9313Z;Activités des centres de culture physique;Maladies professionnelles;765.0
2017;9319Z;Autres activités liées au sport;Accidents de trajet;1831.0
2017;9319Z;Autres activités liées au sport;Accidents du travail;29550.0
2017;9319Z;Autres activités liées au sport;Maladies professionnelles;351.0
2017;9321Z;Activités des parcs d'attractions et parcs à thèmes;Accidents de trajet;9316.0
2017;9321Z;Activités des parcs d'attractions et parcs à thèmes;Accidents du travail;71973.0
2017;9321Z;Activités des parcs d'attractions et parcs à thèmes;Maladies professionnelles;4497.0
2017;9329Z;Autres activités récréatives et de loisirs;Accidents de trajet;7975.0
2017;9329Z;Autres activités récréatives et de loisirs;Accidents du travail;49238.0
2017;9329Z;Autres activités récréatives et de loisirs;Maladies professionnelles;2911.0
2017;9411Z;Activités des organisations patronales et consulaires;Accidents de trajet;9589.0
2017;9411Z;Activités des organisations patronales et consulaires;Accidents du travail;12687.0
2017;9411Z;Activités des organisations patronales et consulaires;Maladies professionnelles;2850.0
2017;9412Z;Activités des organisations professionnelles;Accidents de trajet;2303.0
2017;9412Z;Activités des organisations professionnelles;Accidents du travail;2802.0
2017;9412Z;Activités des organisations professionnelles;Maladies professionnelles;1032.0
2017;9420Z;Activités des syndicats de salariés;Accidents de trajet;4418.0
2017;9420Z;Activités des syndicats de salariés;Accidents du travail;10611.0
2017;9420Z;Activités des syndicats de salariés;Maladies professionnelles;4778.0
2017;9491Z;Activités des organisations religieuses;Accidents de trajet;1827.0
2017;9491Z;Activités des organisations religieuses;Accidents du travail;14245.0
2017;9491Z;Activités des organisations religieuses;Maladies professionnelles;3673.0
2017;9492Z;Activités des organisations politiques;Accidents de trajet;533.0
2017;9492Z;Activités des organisations politiques;Accidents du travail;1.0
2017;9492Z;Activités des organisations politiques;Maladies professionnelles;0.0
2017;9499Z;Autres organisations fonctionnant par adhésion volontaire;Accidents de trajet;56613.0
2017;9499Z;Autres organisations fonctionnant par adhésion volontaire;Accidents du travail;221283.0
2017;9499Z;Autres organisations fonctionnant par adhésion volontaire;Maladies professionnelles;25249.0
2017;9511Z;Réparation d'ordinateurs et d'équipements périphériques;Accidents de trajet;739.0
2017;9511Z;Réparation d'ordinateurs et d'équipements périphériques;Accidents du travail;9229.0
2017;9511Z;Réparation d'ordinateurs et d'équipements périphériques;Maladies professionnelles;66.0
2017;9512Z;Réparation d'équipements de communication;Accidents de trajet;625.0
2017;9512Z;Réparation d'équipements de communication;Accidents du travail;3179.0
2017;9512Z;Réparation d'équipements de communication;Maladies professionnelles;765.0
2017;9521Z;Réparation de produits électroniques grand public;Accidents de trajet;2575.0
